article;Após a leitura completa, o artigo deve ser excluído? ;Qual a afiliação dos autores do trabalho? ;Tipo de SoS;Quais as dominio de aplicação?;Quais as contribuições reportadas nas pesquisas? e.g., tecnica, modelo, notação, ferramenta, etc;Quais metodologias são empregadas para a definição do comportamento emergente?;Qual o nível de comportamento emergente? (Meier, 1998);Como o comportamento emergente é descrito ou especificado? e.g., modelo conceitual, linguagem formal, etc ;Observações adicionais
Self-aware architecture to support partial control of emergent behavior;;Research Lab for Proactive Technologies Tallinn University of Technology, Estonian Academy of Sciences Tallinn, Estonia \;Collaborative;time-aware systems, and time- and location-aware systems;This paper suggests that the designer can improve system’s behavior by substituting (part of) regular interactions with smart mediated interactions that bolster up shared situation awareness of the system’s components and thus strengthens system’s capability to monitor and partially control its emergent behavior;The inserted mediated interactions enable simulation and foster capability for online engineering of system of systems – e.g. they enable to observe, analyze, and verify system’s behavior, and partially to control system’s emergent behavior.;Spooky emergence;"Interactions are assembled into proactive middleware that forms a backbone of system of systems.

In the case of technological applications mediated interactions could play multiple roles ... and attempt to detect emergent behavior.

Mediated interactions between agents have been earlier modeled by specific coordination artifacts (e.g. blackboards) 

The behavior of system of systems, and its model cannot be adequately analyzed relying on theory and tools stemming from Turing machine paradigm. In this paper the description and analysis is based on a prototype of a multistream interaction-centered computation model [1, 12].";"Proactive behavior means anticipatory, usually selfinitiated behavior striving to achieve (pre-set or dynamically selected) goals of the system. Cognitive and proactive behavior cannot always be controlled by applying conventional methods of computation, in many cases one needs to rely on non-classical paradigms of computation to analyze and verify the system of systems behavior 

The instant of appearance of emergent behavior and its impact on system’s overall performance cannot be predicted

This paper suggests extending the role of system’s architecture by enabling its active assistance in monitoring and conducting the system’s evolution (e.g. changes in interaction pattern between the components, modifying the composition of components and/or their functionality)

Prediction of the emergent behavior is not theoretically possible. Hence one can only partially control the impact of emergent behavior on the system (in order to keep a system within a security envelope). The sooner emer"
Synchronisation and Emergent Behaviour in Networks of Heterogeneous Systems: A Control Theory Perspective;;;Not defined;;In this chapter, we briefly describe a framework, which was originally and recently introduced in [15], for analysis and control of synchronisation of networked heterogeneous systems that is, with different parameters or even completely distinct dynamic models.;;not defined;;Among the latter, our technical results establish how the coupling strength affects synchronisation. Our analysis is carried out from a dynamical systems and stability theory viewpoint
Agent-Based Modeling for Systems of Systems;;Purdue University / School of Aeronautics and Astronautics / Center for Integrated Systems in Aerospace / Neil Armstrong Hall of Engineering;Directed;Littoral Operations Scenario. Littoral Operations Scenario. In order to illustrate the capabilities of agent-based modeling using DAF, we developed a simulation model to capture the performance of a Littoral Combat Ship (LCS) squadron in a scenario involving multiple threats.;"The purpose of this paper is to provide an understanding of the concept of systems of systems and the application of agent-based modeling to systems of systems.

We describe a simulation tool that provides a capability for agent-based modeling and simulation and describe the application of this tool to a system of systems.

Our agent-based LCS model provides a good insight into the workings of agent-based modeling and illustrates the systems-of-system nature of the problem at hand. A key characteristic of SoS problems is the unfolding of emergent behavior and properties during operations, because of the collective interaction among the system components

Our simulation of the LCS combat scenario illustrated the ability of agent-based modeling to capture non-intuitive behaviors that may arise due to the complex dynamics that occur in interconnected systems of agents that follow a behavioral set of rules.";"DAF can used to generate and evaluate a wide variety of architectures by defining the functional capabilities and behaviors of agents and the communication links between the agents. A representative implementation of DAF involves generating architecture alternatives, then simulating them to identify the configuration that provided the best balance of efficiency and reliability. ..... MY OPINION... configuration that provided also ""emergent behavior""...";Strong emergence;Purdue University developed the Discrete Agent Framework (DAF) for agent-based modeling in 2010 to enable easy application in multiple domains. Developed in object-oriented MATLAB, this engine provides the foundation to build agent-based simulation models to explore various architecture configurations for systems of systems and evaluate their performance. DAF also enables coordinated development, verification, and validation of the system of systems architecture through selective failure simulation.;"Agent-based modeling is an important tool for the engineering of systems of systems. Using this approach, systems engineers can investigate alternative architectures and gain an understanding of the impact of the behaviors of individual systems on emergent behaviors. 

Agent-based modeling is a natural choice for analyzing systems of systems because (1) it can capture emergent phenomena, (2) it provides a natural description of the system, and (3) it is flexible (Bonabeau 2002). 

Agent-based modeling provides a means of connecting micro-level behaviors to the macro level of a system whereas systems dynamics link system structures to system behavior (Schieritz and Milling 2003, Borshchev and Filippov 2004). The main difference is in the ability of agent-based models to capture emergent behaviors.

We describe a successful application of the concepts of agent-based modeling to a system of systems that has been in operation for multiple decades


Strong Emergence: An emergent property th"
Composition of Behavior Models for Systems Architecture;;"Naval Postgraduate School, Monterey, CA, USA
Naval Postgraduate School, Monterey, CA, USA
Naval Postgraduate School, Monterey, CA, USA";Acknowledged;Tha application domain of this paper is the architeture's modeling of system-of-systems.;Desenvolvimento da abordagem para modelagem de comportamentos: Monterey Phoenix (MP).;;Weak emergence;"A component’s behavior is central to stakeholder satisfaction. Behavior is the way in which a component acts on its own and responds to 
 timuli. For human-designed components, predicting functional and dysfunctional behavior during the design stage reduces the risk of stakeholder dissatisfaction and lack of engineering feasibility during the component’s operation. Modeling the behavior of components of complex natural and technological systems increases human understanding of overall systems behavior.

• Modeling a component in the context of its environment is necessary, but not sufficient, for predicting the full range of component 
 behaviors before physical implementation. Modeling the behavior of each interacting component rather than just one component’s interactions with external components has the potential to expose many more design flaws and tacit assumptions pertaining to the
component operation in a larger construct.

• Describing component interactions at a high level of";
Model-driven performance prediction of systems of systems;;"School of Computer ScienceUniversity of AdelaideAdelaideAustralia
LIUPPAUniversity of Pau and Pays AdourPauFrance
Department of DefenceDefence Science and Technology OrganisationCanberraAustralia";Not defined;Sistema de sistemas em geral.;Desenvolvimento de uma metodologia para previsão dos tipos de interação entre os sistemas constituintes do sistema de sistemas.;Definição de Meier. Embora use o apontamento de distribuição geográfica.;Spooky emergence;SoS are characterised by emergent behaviour resulting from the integration of independently operating and managed heterogeneous systems that are typically geographically distributed.;
The Role of Modeling and Simulation in System of Systems Development;;The Aerospace Corporation, Chantilly, VA, USA;Not defined;Energy Systems, Conventional, and Sustainable. Air Transportation Systems. Command, Control, Communications, Computing, Intelligence, Surveillance, and Reconnaissance Systems;uma ampla definição de SoS, tipos de systems de systems, classificação de comportamento emergente etc;"With this notion in mind, we can reclassify types of emergence in terms of how they map to models of the system.

Simple Emergence: An emergent property readily predicted (not just explained) by simplified models of the system’s components. The property can be readily and predictably produced in lower complexity, abstracted models of the actual system.

Weak Emergence: An emergent property that is readily and consistently reproduced in simulations of the system, but not in reduced complexity nonsimulation models. It can be understood through reduced complexity models of the system after observation, but not consistently predicted in advance.

Strong Emergence: An emergent property that is consistent with the known properties of the system’s components but which is not reproduced in any simplified model of the system. Direct simulations of the system may reproduce the emergent property but do so only inconsistently and with little pattern to where they do so and where they fail. Reduced";not defined;linguagem formal por meio de classificação de níveis de comportamento emergente;Este é o capítulo do livro do Maier que é utilizado como referência para tipos de comportamento emergente
Bigraph-Ensured Interoperability for System(-of-Systems) Emergence;;Communications Engineering, Department of Information Systems Johannes Kepler University Linz;Collaborative;An air cargo information system including different routes that are handled in accordance with their contextual conditions (i.e., weather alerts) were shown.;In this paper, we have proposed bigraph-based representation that suggests a SoS perspective on distributed application systems. This approach is not only capable of ensuring interoperability among autonomous systems, but also al-lows for emergent behavior.;"System interoperability is required for SoS behavior to be emergent (cf. [3] and [6]). Bigraphs, in that context, allow preserving interoperability among systems, both from a structural and behavior perspective (cf. [8] and [11])

For behavior specification, bigraphical reactive systems allow the definition of reaction rules each consisting of two parts, a redex and a reactum. The redex defines the bigraph to be changed, whereas the reactum represents the changed bigraph.

The delta between the redex and the reactum therefore describes the set of changes in terms of the bigraph’s structure that is required to be performed upon the system.

The behavior and therefore structural changes in system interaction is re-flected by the bigraphical reactive system. Using the same concepts as for rep-resenting interaction, reaction rules allow describing changes in interaction by means of adaptations in the structural interaction pattern. Each transition is encapsulated in a reaction rule that, w";Simple emergence;Bigraph-based interoperability is then introduced, as representation approach (cf. Section 3) enabling concerted emergence of SoS based on modeling the structure and behavior of cross-system interaction (cf. Section 4).;"### => SIMPLE EMERGENTE: An emergent porperty readily predicted (not just explained) by simplified models of the systems's components. The property can be readily and predctably produced in lower complexity, abstrated models for teh actual system.

In addition to context-sensitive system interaction, novel behavior can also emerge when bigraphical structures and reaction rules are orchestrated across systems. In this case, interaction patterns evolve that are not provided by a single system, but rather are combined results of interaction. Consider a supply system including its sub-system that appear during run time in order to opti-mize delivery routes. In this way, federated systems can optimize their behavior with the aid of currently available systems without having knowledge of these systems beforehand

### => Collaborative: The component systems must, more or less, voluntarily collaborate to fulfill the agreed upon central purposes.
An air cargo information system including diffe"
Checking the architectural feasibility of Systems-of-Systems using formal descriptions;;"ICMC - Univ. de São Paulo, São Carlos, Brazil
IRISA - UMR CNRS / Univ. de Bretagne-Sud, Vannes, France
ICMC - Univ. de São Paulo, São Carlos, Brazil";Acknowledged;O domínio da aplicação é para a modelagem de sistema de sistemas.;"We investigate in this paper a novel formal approach to automatically check the feasibility of coalitions among constituent systems at run-time.

In this paper, we proposed a formal approach based on SosADL and Alloy, both formal languages, to automatically synthesize run-time SoS architectures from concrete constituents that participate in a given coalition.";Linguagem formal.;Strong emergence;O comportamento emergente é descrito com a associação de sistemas parte do Sistema de sistemas para cumprimento de algum requisito que cada parte individual não consegue cumprir.;Acho interessante manter este artigo, já que embora ela seja de visão arquitetural, a proposta dele é justamente os comportamentos emergentes e a viabilidade dos mesmos.
Classifying Emergent Behavior to Reveal Design Patterns;;"University of Southern California
The Aerospace Corporation";Not defined;The paper shows many domains, such as: Spontaneous Traffic Jam, Laminar vs Turbulent fluid flow, Locust Swarms etc. There is no a unique defined domain.;This research seeks to generate and compile a set of design patterns to enable systems engineers to quickly recognize emergent behavior in their system, find similar cases in other systems, and identify possible avenues to address the mitigation or inducement of such behavior in the future.;"Due to the disparate forms of emergence expressed, a natural way to approach this is not to deal with emergence as a whole, but to break it down into categories that can be more readily conceptualized and investigated. Thus classifications of emergence can be found in virtually any discussion of emergent phenomena. This paper surveys several of these methods of classification, discusses the different problems they seek to address, and proposes the development of a set of emergent behavior design patterns based upon a certain form of typology. The expectation is that these design patterns will enable practicing systems engineers and operators of systems to anticipate potential emergent behavior, more quickly identify it, and have ready access to tools to deal with it. Additionally, these patterns have potential use for education new entrants to the field.

The first step towards developing the proposed design patterns is to generate a typology of emergent behavior, a set of common
causa";not defined;"towards design patterns to enable systems engineers to quickly recognize emergent behavior in their system

Basic systems, like mechanical watches, were downgraded to the simple category. The weak category was reserved for behavior that is consistently predictable using simulations of equal complexity to the actual system, but not with more abstract models. Most systems studied using agent-based models would fall into this category. Strong emergence is now a behavior whose general causal chain can be traced down to the component level, but simulations fail to consistently replicate. An excellent example of this is financial bubbles, which are easily explained on evening news, but resist accurate real world predictions and diagnoses. Lastly spooky emergence refers to all system-level behavior that is flatly inexplicable and unpredictable using current scientific knowledge, such as conscious thought.";"Having only two categories in a taxonomy is somewhat limiting, however, and thus Maier expanded these two categories into simple, weak, strong, and spooky emergence, while making the emphasis on simulation and prediction even more explicit [7]

While such systems of classification are quite useful, they focus on describing the system as a whole, rather than specific behaviors which is the subject of this research.

In this research, design patterns are used to refer to a subset of design principles.

Designers can use these patterns to help
anticipate emergent behavior and adjust their plans to either encourage or discourage the development of emergent
behavior once the system is put into operation. 

Both operators and analysts can use these patterns to more quickly identify and react to emergent behavior in their systems. This is line with the Cynefin framework’s suggest course of action “Probe-Sense-Respond” in the complex domain [38]."
A Model-based Approach Towards the Building of Trustworthy Software-intensive Systems-of-systems;;"University of Sao Paulo, São Carlos, Brazil
IRISA-UMR CNRS/Universite de Bretagne-Sud, Vannes, France";Not defined;often supporting missions to critical domains, such as smart traffic control and emergency and crisis management [5];"This PhD project is intended to contribute to validation of dynamic properties of SoS, that is, dynamic architecture and emergent behaviors, specified with an ADL especially tailored for this purpose with formal foudations, and to provide subsidies for the verification of dynamic properties.

this paper adressess some gaps identified in the literature are highlighted to be addressed

- Lack of ADL that deal with representation and validation of emergent behaviors of software architectures of SoS;
- Lack of approaches that deal with verification of both dynamic architecture and emergent behaviors of SoS;
- Lack of ADL that deal with specification of dynamic software architecture of SoS in which constituents are not known at design-time;";"my hypothesis is that a model-based (MB) approach can support V&V activities of dynamic properties of SoS,
making them trustworthy. My claim is that a MB approach can aid this endeavor because it (i) incentives the creation and
adoption of software specifications expressed as models, and (ii) relies on these models to automatize V&V activities by using simulation, test cases, formal validation and verification, bringing precision for V&V and (iii) enables the prediction of the SoS behavior and dynamics under environmental conditions [8], [9].

The SosADL2DEVS model transformation was used as basis to generate simulation models, complementing the static software architectural description of SoS expressed in SosADL with a dynamic view. We established a method to validate a specific type of emergent behavior in a case study. This approach still requires some refinements.";Weak emergence;This PhD project is intended to contribute to validation of dynamic properties of SoS, that is, dynamic architecture and emergent behaviors, specified with an ADL especially tailored for this purpose with formal foudations, and to provide subsidies for the verification of dynamic properties.;"O artigo apresenta gaps na literatura e planos para solucionar esses gaps, talvez ele poderia ser excluído porque ""comportamento emergente não é o foco da pesquisa (foca em pesquisa formas de tornar SoS mais confiáveis) mas levanta questões importantes sobre comportamento emergente que podem ser úteis para outros trabalhos.

#########
WEAK EMERGENCE => 

The SosADL2DEVS model transformation was used as basis to generate simulation models, complementing the static software architectural description of SoS expressed in SosADL with a dynamic view. We established a method to validate a specific type of emergent behavior in a case study. This approach still requires some refinements."
